x,asian,ethnic
Japanese,1,1
Restaurants,0,0
Sandwiches,0,0
Vietnamese,1,1
Delis,0,0
Dim Sum,1,1
Seafood,0,0
Cantonese,1,1
Chinese,1,1
Burgers,0,0
Fish & Chips,0,0
Thai,1,1
Breakfast & Brunch,0,0
Cafes,0,0
Pizza,0,0
Fast Food,0,0
Mexican,0,1
American (New),0,0
Southern,0,0
Soul Food,0,0
French,0,0
Barbeque,0,0
Cajun/Creole,0,0
Diners,0,0
Italian,0,0
American (Traditional),0,0
Asian Fusion,1,1
Mediterranean,0,1
Middle Eastern,0,1
Vegetarian,0,0
Vegan,0,0
Sushi Bars,1,1
Gluten-Free,0,0
Soup,0,0
Indonesian,1,1
Taiwanese,1,1
Australian,0,0
Filipino,1,1
Indian,1,1
Latin American,0,1
German,0,0
Kosher,0,0
Salvadoran,0,1
Lebanese,0,1
Modern European,0,0
Belgian,0,0
Food Stands,0,0
Himalayan/Nepalese,1,1
Tex-Mex,0,1
Gastropubs,0,0
Greek,0,0
Malaysian,1,1
Buffets,0,0
Steakhouses,0,0
Irish,0,0
Salad,0,0
Food Court,0,0
Ethiopian,0,1
Cambodian,1,1
Hot Dogs,0,0
Turkish,0,1
Creperies,0,0
Caribbean,0,1
Tapas Bars,0,0
Spanish,0,0
Basque,0,0
Cheesesteaks,0,0
British,0,0
Pakistani,1,1
Korean,1,1
Scandinavian,0,0
Mongolian,1,1
Fondue,0,0
Live/Raw Food,0,0
Brazilian,0,1
Hawaiian,1,1
Russian,0,0
African,0,1
Chicken Wings,0,0
Tapas/Small Plates,0,0
Afghan,0,1
Comfort Food,0,0
Haitian,0,1
Shanghainese,1,1
Halal,0,0
Moroccan,0,1
Scottish,0,0
Polish,0,0
Cuban,0,1
Venezuelan,0,1
Colombian,0,1
Puerto Rican,0,1
Laotian,1,1
Persian/Iranian,0,1
Szechuan,1,1
Hot Pot,1,1
Egyptian,0,1
Trinidadian,0,1
Senegalese,0,1
